Candidate,Party,EVM Votes,Postal Votes,Total Votes,percent of Votes,Constituency ID
DR JITENDRA SINGH,Bharatiya Janata Party,566833,4243,571076,51.28,U084
CH LAL SINGH,Indian National Congress,444151,2552,446703,40.11,U084
GHULAM MOHD SAROORI,Independent,39519,80,39599,3.56,U084
MEHRAJ DIN,Independent,9055,27,9082,0.82,U084
AMIT KUMAR,Bahujan Samaj Party,8559,83,8642,0.78,U084
MOHD ALI GUJJAR,Independent,7139,19,7158,0.64,U084
MANOJ KUMAR,Ekam Sanatan Bharat Dal,6778,56,6834,0.61,U084
BALWAN SINGH,Jammu & Kashmir National Panthers Party (Bhim),3243,49,3292,0.3,U084
SWARN VEER SINGH JARAL,Independent,3071,17,3088,0.28,U084
DR. PANKAJ SHARMA,Independent,2201,46,2247,0.2,U084
RAJESH MANCHANDA,Independent,1575,30,1605,0.14,U084
SACHIN GUPTA,Independent,1457,6,1463,0.13,U084
NOTA,None of the Above,12891,47,12938,1.16,U084
CHAMALA KIRAN KUMAR REDDY,Indian National Congress,623762,5381,629143,44.89,S2914
DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,401513,5460,406973,29.04,S2914
KYAMA MALLESH,Bharat Rashtra Samithi,254838,1349,256187,18.28,S2914
MAHAMD JAHANGIR,Communist Party of India  (Marxist),28412,318,28730,2.05,S2914
RAMESH GOUD THALLAPELLY,Alliance of Democratic Reforms Party,8130,16,8146,0.58,S2914
AITARAJU ABENDER,Bahujan Samaj Party,7703,66,7769,0.55,S2914
ASURA BALU,Independent,5747,3,5750,0.41,S2914
PULIGILLA BIXAPATHI YADAV,National Nava Kranthi Party,4718,0,4718,0.34,S2914
BUSHIPAKA VENKATAIAH,Independent,4674,1,4675,0.33,S2914
POOSA SRINIVAS,Telangana Rashtra Punahnirmana Samithi,4431,2,4433,0.32,S2914
NARENDRAA VEMULA,Jai Swaraj Party,4303,1,4304,0.31,S2914
KONGARI LINGA SWAMY,Dharma Samaj Party,4029,64,4093,0.29,S2914
TARIGOPPULA MAHENDER,Social Justice Party of India,3088,1,3089,0.22,S2914
KARINGULA YADAGIRI,Independent,2607,5,2612,0.19,S2914
BETHI NARENDER,Independent,2168,0,2168,0.15,S2914
M. GANESH,Pyramid Party of India,1996,14,2010,0.14,S2914
MALLEBOINA PARAMESH YADAV,Independent,1895,2,1897,0.14,S2914
LINGIDI. VENKATESWARLU,Prajavani  Party,1792,0,1792,0.13,S2914
V. SADANANDA REDDY,People Protection Party,1734,3,1737,0.12,S2914
DHERAVATH GOPI NAIK,Jai Maha Bharath Party,1678,4,1682,0.12,S2914
PENTA RAMESH,Independent,1646,1,1647,0.12,S2914
RACHA SUBHADRA REDDY,Socialist Party (India),1444,21,1465,0.1,S2914
VARIKUPPALA. KRISHNA VADDERA,Independent,1361,5,1366,0.1,S2914
BASHABOINA LAKSHMAIAH,Independent,1319,1,1320,0.09,S2914
NUNE VENKAT SWAMY,Independent,919,4,923,0.07,S2914
NARRI. SWAMY KURUMA,Independent,897,1,898,0.06,S2914
JANGA. SUJATHANAVEEN REDDY,Independent,847,0,847,0.06,S2914
ERRA SURYAM,Viduthalai Chiruthaigal Katchi,777,1,778,0.06,S2914
KONGARI MALLAIAH,Independent,631,2,633,0.05,S2914
DR MORIGADI KRISHNA,Independent,616,1,617,0.04,S2914
KANDE. RAMARAJU,Independent,577,2,579,0.04,S2914
KOTHOJU SRINIVASU,National Maha Sabha Party,567,2,569,0.04,S2914
AMIREDDY KIRAN REDDY,Independent,540,1,541,0.04,S2914
CHANDU NAYAK MEGAVATH,Independent,501,1,502,0.04,S2914
KADIRE KIRAN KUMAR,Bahujan Republican  Socialist Party,476,2,478,0.03,S2914
KARUNAKAR REDDY NALLA,Jai Bharat National Party,446,1,447,0.03,S2914
KANDADI. MANIPAL REDDY,Telangana Republican Party,432,1,433,0.03,S2914
UDARI MALLESH,Independent,404,2,406,0.03,S2914
ANIL KUMAR GADEPAKA,Independent,390,3,393,0.03,S2914
NOTA,None of the Above,4571,75,4646,0.33,S2914
AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,S0119
MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24,S0119
MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3,S0119
G.V.RAMANA REDDY,Independent,6436,3,6439,0.45,S0119
BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44,S0119
V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4,S0119
DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35,S0119
M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2,S0119
